Model,CPO
"M1.full.covs.1.CPO","613.354859885656"
"M2.red.covs.1.CPO","606.564363505065"
"M3.null.covs.1.CPO","619.87032551101"
"M1.full.covs.2.CPO","600.060267405994"
"M1.full.no.covs","588.315501052022"
"M2.red.no.covs.CPO","601.902357728458"
"M2.red.no.covs.CPO","601.912085684264"
"M1.full.covs.1.CPO","614.338138073439"
"M2.red.covs.1.CPO","606.629866622536"
"M3.null.covs.1.CPO","619.928305095186"
"M1.full.covs.2.CPO","601.652555626781"
"M2.red.covs.2.CPO","601.972729800486"
"M3.null.covs.2.CPO","616.756932195033"
"M1.full.no.covs","588.232291887781"
"M2.red.no.covs","601.86037860552"
