"Station","Occ_1","Occ_2","Occ_3","Occ_4","Occ_5","Occ_6","Occ_7","Occ_8","Occ_9","Occ_10","Occ_11","Occ_12","Occ_13","Occ_14"
"4AJB01",1,1,1,1,1,1,1,1,1,1,1,3,1,1
"4AJB02",1,1,1,1,1,1,1,1,1,1,1,1,1,NA
"4AJB03",1,1,1,1,1,1,1,1,1,1,1,3,1,1
"4AJB04",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4AJB05",1,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA
"4AJB06",1,1,2,1,1,1,1,1,1,1,1,1,1,NA
"4AJB07",1,1,2,3,4,1,1,1,1,3,1,1,1,NA
"4AJB08",3,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"4AJB09",1,1,1,1,3,1,1,1,1,NA,NA,NA,NA,NA
"4AJB10",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4AJB11",1,1,1,2,1,1,1,1,1,1,1,1,NA,NA
"4AJB12",1,NA,1,1,1,1,1,1,1,1,1,1,1,NA
"4AJB13",1,1,1,1,1,1,1,1,1,3,1,1,2,NA
"4AJB14",1,1,1,3,1,1,1,1,1,1,1,1,1,1
"4AJB15",3,1,1,1,3,3,1,1,1,3,1,1,1,NA
"4AJB16",1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA
"4AJB17",1,1,1,3,1,1,1,1,NA,1,1,NA,NA,NA
"4AJB18",1,1,1,3,1,1,1,1,1,1,1,1,1,NA
"4AJB19",1,1,1,1,1,1,1,1,NA,1,1,1,1,NA
"4AJB20",1,2,1,1,1,1,1,1,1,1,1,1,1,NA
"4AJB21",1,1,1,1,3,1,1,NA,NA,1,1,1,1,1
"4AJB22",1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"4AJB23",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4AJB24",1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
