Site,HE,TN,TS,day.TS,night.TS,mean.TS
AJB 01,1,56,0.017857143,0.017857143,0,0.017857143
AJB 02,1,54,0.018518519,0.018518519,0,0.018518519
AJB 03,1,56,0.017857143,0.017857143,0,0.017857143
AJB 04,4,53,0.075471698,0.075471698,0,0.094339623
AJB 05,0,50,0,0,0,0
AJB 06,0,52,0,0,0,0
AJB 07,2,54,0.037037037,0.037037037,0,0.037037037
AJB 08,0,59,0,0,0,0
AJB 09,1,59,0.016949153,0.016949153,0,0.016949153
AJB 10,2,58,0.034482759,0.034482759,0,0.051724138
AJB 11,1,40,0.025,0.025,0,0.025
AJB 12,1,55,0.018181818,0.018181818,0,0.018181818
AJB 13,1,55,0.018181818,0.018181818,0,0.018181818
AJB 14,0,56,0,0,0,0
AJB 15,36,56,0.642857143,0.642857143,0.017857143,1.285714286
AJB 16,2,57,0.035087719,0.035087719,0,0.035087719
AJB 17,4,58,0.068965517,0.068965517,0,0.120689655
AJB 18,0,54,0,0,0,0
AJB 19,0,54,0,0,0,0
AJB 20,1,56,0.017857143,0.017857143,0,0.017857143
AJB 21,0,55,0,0,0,0
AJB 22,2,55,0.036363636,0.036363636,0,0.036363636
AJB 23,0,57,0,0,0,0
AJB 24,2,57,0.035087719,0.035087719,0,0.035087719
