"LocationName","tree","imperv"
"C04-MBP1",0.289431424308797,0.364032573345892
"C05-BEA1",0.209342106226447,0.18006924393479
"C05-BMP1",0.122994461762158,0.0859014143371574
"C05-BMP2",0.111009464585947,0.150039183780525
"C05-EGG1",0.212376912854221,0.338894344397317
"C06-BEA2",0.22897117130423,0.127929406491995
"C06-HMP1",0.130446158802027,0.220318681220739
"D02-BMT1",0.105416584170865,0.723248919172364
"D02-HUP0",0.213035015429962,0.483088793502705
"D02-JBS1",0.175748103481402,0.543585090502944
"D02-MDU1",0.175201687467482,0.193869139780228
"D02-MOP1",0.166775901248967,0.604322633649493
"D02-RCP1",0.157517203884534,0.649502623992269
"D02-SCP1",0.171253974483727,0.672816393414445
"D03-AFP1",0.193525396720808,0.603054781260435
"D03-AMP1",0.234766922979716,0.525799743506575
"D03-CHP1",0.175071619556914,0.575001591545709
"D03-GOM1",0.342441239205715,0.331429309907426
"D03-NPV1",0.363737932931161,0.325842052859555
"D03-STB1",0.184785719128559,0.597888465148821
"D04-DNP1",0.223591474202147,0.441518669679127
"D04-EDW0",0.496204802517951,0.26683647387543
"D04-RDP1",0.277580780288311,0.459584391178021
"D04-ROS0",0.28543230767174,0.400008658058265
"D05-BRP1",0.280502152089478,0.363693572506731
"D05-MIA1",0.283201494278521,0.470707920179094
"D05-PRC1",0.339775502356767,0.300598550034505
"D06-KCG1",0.449736963817286,0.273708509372504
"D07-ASC0",0.398636430336449,0.193387333297895
"D07-NOC1",0.548974875619515,0.227964680080342
"D08-CCC1",0.312491047583882,0.196534261095426
"D08-DAW0",0.570207300478263,0.203102265583346
"D08-DAW2",0.622268257032121,0.206847246484576
"D09-CLG0",0.506714714248245,0.133666262627292
"D09-RYW1",0.828064088464618,0.061533393069444
"D09-VTC1",0.467051208757908,0.204433958540501
"D10-CAN0",0.515267853505001,0.278542753172938
"D10-MAC1",0.758780954248383,0.0475994183803523
"D10-VHC1",0.176353412202403,0.317425510364537
"J01-BBS1",0.105320035208008,0.65046959529961
"J01-CLP1",0.143312005607321,0.666701786697063
"J01-LMP1",0.214977864719187,0.462564724032572
"J01-NOR1",0.0694844385760372,0.534661840838183
"J01-SEP1",0.0991260121906928,0.709373349753961
"J01-SKP1",0.126822794979889,0.751342307942058
"J01-UIC1",0.0996800675833755,0.737893195221163
"R02-DPG1",0.21150184334819,0.50200473267154
"R02-FRP1",0.129937321886538,0.597494530665357
"R03-AUP1",0.285332768864223,0.484839707218785
"R03-CPG1",0.262620635915483,0.467841828684347
"R03-EUC1",0.293908125480844,0.515443191407211
"R03-MAP1",0.273127883714009,0.541465479784757
"R04-MMW0",0.235880917912225,0.325240867287759
"R04-MMW3",0.29387069502253,0.274500285841973
"R04-SCH1",0.202132112545952,0.532905904960531
"R05-FMG1",0.144826747627484,0.285972888991031
"R05-GOC1",0.280051476938033,0.358437942946924
"R05-STP1",0.220028857934356,0.535496755312664
"R06-OTB1",0.222740845498115,0.434709966192935
"R06-SLT2",0.329290473480291,0.308798289272814
"R06-YOW1",0.359190858161446,0.300285523300229
"R07-FSP1",0.203753878591955,0.41652990001286
"R07-GOF1",0.256567534274046,0.248362453407351
"R07-MMP1",0.348724141926399,0.247351326024041
"R07-YHR1",0.281605604329808,0.331106634228544
"R08-DAP1",0.422917624230819,0.255028246285712
"R08-PAP1",0.281957511472654,0.31545953798716
"R08-VLG1",0.249313005139769,0.259637424596087
"R08-WBK1",0.363442918612861,0.250541920968983
"R09-BLW1",0.360760065826959,0.297604700834296
"R09-CTG0",0.359041431505744,0.0858837238986097
"R09-LIM0",0.379009452580488,0.255743295721638
"R09-SMI1",0.40579962020006,0.186440963899907
"R10-FRM1",0.183078251159759,0.159930825101334
"R10-FRM2",0.0893432144853393,0.0824085403507253
"R10-WCP0",0.208641087964879,0.255551997534992
"R10-WDW0",0.46379686993191,0.20828987077575
"S02-BNS1",0.248555862095089,0.440725184953368
"S02-BRI1",0.112832597137574,0.579767768090219
"S02-PIP1",0.10813464811525,0.507701621874892
"S02-PLP1",0.0783572314607943,0.621473969147558
"S02-TNW1",0.169822233793387,0.448229486305476
"S03-JKP2",0.244890487033355,0.306682589049024
"S03-LCP1",0.128937258822754,0.553751073092521
"S03-PSP1",0.128673079163502,0.640658472472716
"S03-VIP1",0.133996479489685,0.651757867831257
"S03-WAP1",0.0703446392352442,0.804347078753401
"S04-HAP1",0.117076462508813,0.66947054133158
"S04-OTW1",0.453197688205705,0.317799141782814
"S04-SSP1",0.201602065209433,0.449506456962601
"S05-LNC1",0.305490363971168,0.343309369921966
"S05-RES1",0.18710115458268,0.329373739482959
"S05-SFP0",0.182692026111502,0.429044526299304
"S06-CBW0",0.612438171857329,0.12036748493031
"S07-ARG1",0.546061186156195,0.112429267572216
"S07-ARG2",0.348573711342667,0.257266408725643
"S07-STJ1",0.545494363338656,0.0610270131933781
"S08-WGL1",0.444093456569548,0.12697729093595
"S09-KTP1",0.432358120246855,0.085696032981878
"S09-SMC1",0.208430046384067,0.266113465894405
"S09-VTW0",0.201183413117748,0.337149234257419
"S10-ILC1",0.209156495347109,0.203929850919676
"S10-LEW1",0.289393034623166,0.191425632067268
"S10-LPC1",0.261264097330026,0.365251472080992
"S10-LPP0",0.181846511430999,0.110310737655371
