"","V1","V2","V3","V4","V5","V6"
"CT-RNF-1-01",32,35,31,34,30,0
"CT-RNF-1-02",32,32,31,1,30,0
"CT-RNF-1-03",32,33,31,32,11,0
"CT-RNF-1-04",32,34,31,32,30,0
"CT-RNF-1-05",32,33,13,34,11,0
"CT-RNF-1-06",21,34,32,32,32,0
"CT-RNF-1-07",32,33,32,32,32,0
"CT-RNF-1-08",1,33,32,25,32,0
"CT-RNF-1-09",32,33,31,31,30,0
"CT-RNF-1-10",32,32,31,32,30,0
"CT-RNF-1-11",26,32,1,34,30,0
"CT-RNF-1-12",18,33,38,36,32,0
"CT-RNF-1-13",32,33,36,32,32,0
"CT-RNF-1-14",32,33,32,32,32,0
"CT-RNF-1-15",31,33,32,32,32,0
"CT-RNF-1-16",32,0,31,32,30,0
"CT-RNF-1-17",30,33,31,32,30,0
"CT-RNF-1-18",31,34,33,1,32,0
"CT-RNF-1-19",1,33,36,32,32,0
"CT-RNF-1-20",32,19,7,32,22,0
"CT-RNF-2-01",45,38,34,26,40,35
"CT-RNF-2-02",31,33,32,32,33,31
"CT-RNF-2-03",30,33,32,32,0,31
"CT-RNF-2-04",30,33,34,33,33,31
"CT-RNF-2-05",30,37,32,32,1,31
"CT-RNF-2-06",33,33,34,34,0,31
"CT-RNF-2-07",31,34,34,30,33,31
"CT-RNF-2-08",35,18,33,33,35,32
"CT-RNF-2-09",30,33,32,32,33,31
"CT-RNF-2-10",30,35,32,25,33,31
"CT-RNF-2-11",32,34,36,20,33,31
"CT-RNF-2-12",32,33,31,32,33,31
"CT-RNF-2-13",32,33,29,32,33,31
"CT-RNF-2-14",32,33,27,8,1,16
"CT-RNF-2-15",32,33,31,26,33,31
"CT-RNF-2-16",32,33,31,17,33,31
"CT-RNF-2-17",32,29,31,32,33,31
"CT-RNF-2-18",32,35,31,7,33,31
"CT-RNF-2-19",36,35,31,37,33,37
"CT-RNF-2-20",32,33,31,32,31,32
"CT-RNF-3-01",31,34,31,32,31,31
"CT-RNF-3-02",31,34,32,29,32,31
"CT-RNF-3-03",28,32,24,16,26,31
"CT-RNF-3-04",25,35,29,29,0,31
"CT-RNF-3-05",31,32,31,29,32,31
"CT-RNF-3-06",28,32,31,30,32,31
"CT-RNF-3-07",26,32,32,27,32,31
"CT-RNF-3-08",24,34,31,11,0,29
"CT-RNF-3-09",31,32,31,29,32,31
"CT-RNF-3-10",26,32,31,4,32,28
"CT-RNF-3-11",32,32,31,34,32,30
"CT-RNF-3-12",32,32,30,32,1,31
"CT-RNF-3-13",32,32,31,32,32,31
"CT-RNF-3-14",32,32,31,34,0,26
"CT-RNF-3-15",34,36,34,32,34,31
"CT-RNF-3-16",32,35,33,32,33,29
"CT-RNF-3-17",32,32,31,32,32,26
"CT-RNF-3-18",33,32,0,33,32,31
"CT-RNF-3-19",26,34,33,32,32,22
"CT-RNF-3-20",36,32,32,33,32,26
